PARENT_STRUC_ID,PARENT_TITLE,TITLE,IMAGE_ID,IMAGE_PK,UUID,MSS_FILE_ID,TITLE_1,MSS_LOCATION
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939949,5520578,acd6562e-58e0-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939950,5520579,acd6562e-58e1-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939951,5520580,acd6562e-58e2-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939952,5520581,acd6562e-58e3-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939953,5520582,acd6562e-58e4-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939954,5520583,acd6562e-58e5-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939955,5520584,acd6562e-58e6-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939956,5520585,acd6562e-58e7-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939957,5520586,acd6562e-58e8-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939958,5520587,acd6562e-58e9-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939959,5520588,acd6562e-58ea-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939960,5520589,acd6562e-58eb-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939961,5520590,acd6562e-58ec-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939962,5520591,acd6562e-58ed-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939963,5520592,acd6562e-58ee-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
